rank,class_path,nsmells,loc,selected
239,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationMapTableFieldStrategy.java,74,225,false
240,openjpa-kernel/src/main/java/org/apache/openjpa/ee/AutomaticManagedRuntime.java,73,327,false
241,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/identifier/QualifiedDBIdentifier.java,72,360,false
242,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationStrategies.java,71,252,false
243,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ResultShape.java,70,391,false
244,openjpa-lib/src/main/java/org/apache/openjpa/lib/log/LogFactoryImpl.java,70,371,false
245,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/DBCPDriverDataSource.java,70,309,false
246,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CoalesceExpression.java,70,211,false
247,openjpa-lib/src/main/java/org/apache/openjpa/lib/xml/DocTypeReader.java,69,286,false
248,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/StringDistance.java,69,196,false
249,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/InstrumentationFactory.java,68,385,false
250,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/OpenJPAPersistence.java,68,343,false
251,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/StoredProcedure.java,68,339,false
252,openjpa-examples/openbooks/src/main/java/jpa/tools/swing/MetamodelView.java,68,143,false
253,openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/JSONObjectFormatter.java,67,303,false
254,openjpa-examples/openbooks/src/main/java/jpa/tools/swing/ErrorDialog.java,67,237,false
255,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SecondaryRow.java,67,196,false
256,openjpa-kernel/src/main/java/org/apache/openjpa/util/proxy/DelayedHashSetProxy.java,66,396,false
257,openjpa-kernel/src/main/java/org/apache/openjpa/util/proxy/DelayedLinkedHashSetProxy.java,66,394,false
258,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DelegatingQueryCache.java,66,246,false
259,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/LobFieldStrategy.java,66,239,false
260,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SimpleDriverDataSource.java,65,258,false
261,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Args.java,65,245,false
262,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/PropertiesReverseCustomizer.java,65,244,false
263,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Trim.java,65,231,false
264,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java,64,324,false
265,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/DynamicSchemaFactory.java,64,258,false
